text,category,option1,option2,option3,option4,correctAnswer,difficulty
Which function counts non-empty cells?,Functions,COUNTA,COUNT,SUM,AVERAGE,0,1
Which formula multiplies A1 and B1?,Formulas,`=A1/B1,`=A1*B1,`=A1/C1,A1+B1,0,1
Relative cell references change when:,Formulas,Copied to another cell,Workbook saved,Sheet printed,Chart inserted,0,1
Absolute references remain fixed using:,Formulas,$ symbol,% symbol,# symbol,@,0,1
Which example shows an absolute reference?,Formulas,$A$1,A1,A$1,$A1,0,1
Which function returns today's date?,Functions,TODAY(),DATE(),NOW(),DAY(),0,1
Which function returns current date and time?,Functions,NOW(),TODAY(),TIME(),YEAR(),0,1
Which function combines text values?,Functions,CONCAT,SUM,COUNT,MAX,0,1
Which function removes extra spaces in text?,Functions,TRIM,UPPER,LOWER,LEFT,0,1
Which function converts text to uppercase?,Functions,UPPER,LOWER,TRIM,LEFT,0,1
Which function extracts characters from the left of text?,Functions,LEFT,RIGHT,MID,LEN,0,1
Which chart type compares values across categories?,Charts,Column Chart,Pie Chart,Scatter Chart,Radar Chart,0,1
Which chart type displays parts of a whole?,Charts,Pie Chart,Column Chart,Bar Chart,Line Chart,0,1
Which chart is best for showing trends over time?,Charts,Line Chart,Pie Chart,Column Chart,Area Chart,0,1
Which element explains chart colors or symbols?,Charts,Legend,Axis,Title,Gridlines,0,1
Which chart element displays numeric values on data points?,Charts,Data Labels,Legend,Axis,Title,0,1
Which feature lets you view how a worksheet will print?,Printing,Print Preview,Sort,Filter,Freeze,0,1
Which page orientation prints vertically?,Printing,Portrait,Landscape,Diagonal,Horizontal,0,1
Which orientation prints horizontally?,Printing,Landscape,Portrait,Vertical,Standard,0,1
During Margins control:,Printing,Space around page edges,Font size,Chart colors,Cell borders,0,1
Which option adjusts page size for printing?,Printing,Page Setup,Sort,Filter,Group,0,1
Which feature allows printing selected cells only?,Printing,Print Selection,Page Layout,Freeze Pane,AutoFill,0,1
Which feature repeats row headers on every printed page?,Printing,Print Titles,Freeze Pane,Merge Cells,Sort,0,1
Which option exports an Excel sheet as a PDF?,Printing,Export to PDF,Merge Cells,Conditional Formatting,Freeze Pane,0,1
Which command saves an Excel workbook?,Excel Basics,Ctrl+S,Ctrl+P,Ctrl+Z,Ctrl+E,0,1
Which command prints a worksheet quickly?,Printing,Ctrl+P,Ctrl+S,Ctrl+F,Ctrl+E,0,1
Which chart component displays the chart name?,Charts,Chart Title,Legend,Axis,Gridlines,0,1
Which Excel feature hides rows or columns temporarily?,View Tools,Hide,Merge,Wrap,Sort,0,1
Which command shows hidden rows again?,View Tools,Unhide,Wrap,Merge,Filter,0,1
Which feature keeps rows or columns visible when scrolling?,View Tools,Freeze Panes,Split Cells,Merge Cells,AutoFit,0,1
Which view displays the worksheet in a standard editing layout?,View Tools,Normal View,Page Layout View,Page Break View,Print View,0,1
Which shortcut selects the entire current data region around the active cell?,Data Selection Strategies,Ctrl + A,Ctrl + Shift + *,Alt + A,Ctrl + Shift + End,1,2
"When dragging the fill handle across numeric cells, Excel by default performs which action?",Autofill and Flash Fill,Copies the value,Creates a formula,Extends the series pattern,Deletes cells,2,2
Flash Fill is primarily used to:,Autofill and Flash Fill,Automatically correct formulas,Extract or combine text patterns from examples,Sort data automatically,Apply formatting,1,2
Which feature would you use to quickly repeat a formula down an entire column?,Autofill and Flash Fill,Flash Fill,Autofill,Find & Replace,Conditional Formatting,1,2
Flash Fill is usually triggered using which shortcut?,Autofill and Flash Fill,Ctrl + F,Ctrl + E,Ctrl + Shift + F,Alt + E,1,2
Which action selects all cells from the active cell to the last used cell in the worksheet?,Data Selection Strategies,Ctrl + Shift + End,Ctrl + End,Shift + End,Ctrl + A,0,2
Which Excel feature automatically fills weekdays when you drag the fill handle from 'Monday'?,Autofill and Flash Fill,Flash Fill,Autofill,AutoFilter,Data Validation,1,2
Which tool would you use to extract first names from a full name column based on examples?,Autofill and Flash Fill,Autofill,Flash Fill,Find,Replace,1,2
Double‑clicking the fill handle typically:,Autofill and Flash Fill,Fills cells to the last adjacent row of data,Deletes formulas,Copies formatting only,Opens the AutoFill menu,0,2
"To copy only the pattern of numbers such as 2,4,6,8 using drag fill, Excel must:",Autofill and Flash Fill,Detect the numeric sequence,Use conditional formatting,Apply a pivot table,Use VLOOKUP,0,2
Selecting multiple non‑adjacent cells requires holding:,Data Selection Strategies,Shift,Ctrl,Alt,Tab,1,2
Ctrl + Shift + Arrow keys in Excel are commonly used to:,Data Selection Strategies,Insert rows,Jump to sheet end,Extend selection to edge of data region,Open functions,2,2
Which feature automatically fills months when dragging from January?,Autofill and Flash Fill,Flash Fill,Autofill,Paste Special,Replace,1,2
Flash Fill is best suited for:,Autofill and Flash Fill,Mathematical calculations,Pattern-based text transformation,Pivot table grouping,Data validation,1,2
Which Excel feature allows quick copying of formulas to adjacent cells?,Autofill and Flash Fill,Fill Handle,Find Tool,Replace Tool,Sort Tool,0,2
Which shortcut opens the Find dialog box in Excel?,Find and Replace,Ctrl + F,Ctrl + H,Ctrl + Shift + F,Alt + F,0,2
Which shortcut opens Replace in Excel?,Find and Replace,Ctrl + F,Ctrl + H,Ctrl + R,Alt + H,1,2
Find & Replace can be used to:,Find and Replace,Change values across multiple cells quickly,Create charts automatically,Insert tables,Apply formulas,0,2
Using Replace All will:,Find and Replace,Change only one cell,Replace matches throughout the selected range,Delete cells,Apply formatting,1,2
Which option allows replacing only entire cell matches?,Find and Replace,Match entire cell contents,Match formatting,Replace pattern,Find next,0,2
Find & Replace can also search by:,Find and Replace,Cell formatting,Chart type,Worksheet color,Pivot table,0,2
Which Excel feature is helpful for correcting repeated spelling mistakes in a dataset?,Find and Replace,Replace,Flash Fill,Sort,Filter,0,2
Find & Replace works across:,Find and Replace,Cells only,Selected worksheet or workbook,Charts only,Tables only,1,2
Which feature allows replacing formulas with their calculated values?,Paste Special,Paste Special Values,Flash Fill,Replace,AutoFilter,0,2
Find tool can locate:,Find and Replace,"Numbers, text, or formulas",Charts only,Images only,Macros only,0,2
A named range primarily helps to:,Named Ranges,Simplify referencing cells in formulas,Delete cells,Create charts,Sort tables,0,2
Named ranges improve formulas by making them:,Named Ranges,More readable,Shorter only,Hidden,Automatic,0,2
Which tab contains the Name Manager tool?,Named Ranges,Home,Data,Formulas,Insert,2,2
Name Manager allows users to:,Named Ranges,Create and edit named ranges,Insert charts,Sort tables,Merge cells,0,2
Named ranges can represent:,Named Ranges,Cells or ranges,Charts only,Macros only,Images only,0,2
Using named ranges in formulas reduces:,Named Ranges,Formula errors,Data types,Rows,Charts,0,2
A named range can refer to:,Named Ranges,A single cell or multiple cells,Charts only,Pivot tables only,Images only,0,2
Which benefit does naming ranges provide?,Named Ranges,Better readability in formulas,Automatic formatting,Chart creation,Data deletion,0,2
Named ranges can be inserted into formulas using:,Named Ranges,Name Box or Formula tab,Insert Chart,Pivot Table tool,Conditional Formatting,0,2
Paste Special allows users to:,Paste Special,Paste specific parts of copied data,Delete formulas,Sort data,Create pivot tables,0,2
Which Paste Special option pastes only values?,Paste Special,Values,Formats,Formulas,Validation,0,2
Which option pastes formulas without formatting?,Paste Special,Formulas,Formats,Values,Comments,0,2
Transpose in Paste Special will:,Paste Special,Switch rows and columns,Delete duplicates,Merge cells,Create charts,0,2
Paste Special Multiply can:,Paste Special,Multiply existing values by copied number,Divide numbers,Create formulas,Sort columns,0,2
Paste Special Divide can:,Paste Special,Divide existing values by copied number,Multiply cells,Insert rows,Format cells,0,2
Paste Special Add performs:,Paste Special,Addition with copied value,Subtraction,Multiplication,Division,0,2
Paste Special Subtract performs:,Paste Special,Subtract copied value from cells,Multiply numbers,Add formulas,Replace data,0,2
Paste Special Formats will paste:,Paste Special,Only formatting,Only values,Only formulas,Charts,0,2
Paste Special Comments pastes:,Paste Special,Only comments,Values,Formatting,Charts,0,2
Paste Special Validation pastes:,Paste Special,Data validation rules,Formulas,Charts,Images,0,2
Paste Special can transpose data when:,Paste Special,Transposing rows to columns,Sorting rows,Filtering,Grouping,0,2
Which command pastes column data as rows?,Paste Special,Transpose,Values,Formats,Validation,0,2
Paste Special can be opened from:,Paste Special,Right-click paste menu,Chart menu,Pivot menu,Insert tab,0,2
Paste Special helps prevent:,Paste Special,Overwriting unwanted formatting,Sorting data,Filtering rows,Grouping tables,0,2
Which logical function returns TRUE only if all conditions are true?,Logical Functions,AND,OR,IF,NOT,0,2
Which function returns TRUE if at least one condition is true?,Logical Functions,OR,AND,IF,COUNT,0,2
Which function performs conditional testing?,Logical Functions,IF,SUM,COUNT,MAX,0,2
VLOOKUP searches:,Lookup Functions,Vertically in the first column,Horizontally in top row,Randomly,By color,0,2
HLOOKUP searches:,Lookup Functions,Vertically,Horizontally in first row,By color,Randomly,1,2
ROUND function is used to:,Arithmetic Functions,Round numbers to specified digits,Sort numbers,Rank values,Convert text,0,2
MOD function returns:,Arithmetic Functions,Remainder after division,Average value,Median,Maximum,0,2
TRIM function removes:,Text Functions,Extra spaces from text,Numbers,Symbols,Formulas,0,2
UPPER function converts text to:,Text Functions,Uppercase,Lowercase,Numbers,Symbols,0,2
CONCATENATE combines:,Text Functions,Multiple text strings,Numbers,Charts,Tables,0,2
SUMIF adds numbers based on:,Power Functions,Criteria,Formatting,Charts,Rows,0,2
AVERAGEIF calculates:,Power Functions,Average based on condition,Total average,Median,Rank,0,2
COUNTIF counts:,Power Functions,Cells meeting criteria,All cells,Charts,Tables,0,2
NETWORKDAYS calculates:,Date Functions,Working days between dates,All days,Months,Years,0,2
WEEKDAY returns:,Date Functions,Day number of week,Month number,Year,Quarter,0,2
EDATE returns:,Date Functions,Date after specified months,Day of week,Quarter,Time,0,2
DATEDIF calculates:,Date Functions,Difference between two dates,Average date,Minimum date,Maximum date,0,2
MEDIAN returns:,Statistical Functions,Middle value in dataset,Highest value,Lowest value,Average,0,2
RANK returns:,Statistical Functions,Position of number in list,Total value,Average,Median,0,2
LARGE returns:,Statistical Functions,Nth largest value,Nth smallest value,Median,Mode,0,2
Subtotals feature is used to:,Subtotals and Grouping,Summarize grouped data,Create charts,Delete rows,Format text,0,2
Grouping in Excel helps:,Subtotals and Grouping,Collapse or expand sections of data,Delete data,Insert charts,Format cells,0,2
Freeze Panes allows:,Freeze Panes,Keeping rows or columns visible during scrolling,Deleting rows,Sorting data,Filtering data,0,2
Freeze Top Row keeps:,Freeze Panes,Row 1 visible while scrolling,Column A visible,Charts visible,Pivot tables visible,0,2
Data consolidation combines:,Data Consolidation,Multiple worksheet data into one summary,Charts,Images,Formatting,0,2
Excel Tables provide:,Excel Tables,Structured data management,Charts only,Macros,Images,0,2
Tables automatically include:,Excel Tables,Filter buttons on headers,Charts,Macros,Images,0,2
Structured references are used in:,Excel Tables,Excel Tables formulas,Pivot tables,Charts,Images,0,2
Tables automatically expand when:,Excel Tables,New data is added below,Charts inserted,Sorting applied,Formatting added,0,2
Table styles help to:,Excel Tables,Improve readability of data,Delete rows,Create charts,Insert formulas,0,2
Consolidate tool is located under:,Data Consolidation,Data tab,Home tab,Insert tab,Review tab,0,2
Grouping rows allows:,Subtotals and Grouping,Creating expandable outlines,Deleting rows,Sorting tables,Filtering rows,0,2
Outline symbols appear when:,Subtotals and Grouping,Data is grouped,Charts created,Tables inserted,Pivot tables added,0,2
Excel Tables enable:,Excel Tables,Automatic filtering and sorting,Deleting data,Pivot charts,Macros,0,2
Consolidation supports functions such as:,Data Consolidation,SUM,COUNT,AVERAGE,All of these,3,2
A combo chart combines:,Advanced Charts,Two chart types in one chart,Two worksheets,Two tables,Two formulas,0,2
Secondary axis is used when:,Advanced Charts,Datasets have different scales,Charts are deleted,Pivot tables created,Tables inserted,0,2
Chart title can reference:,Advanced Charts,A cell value,A pivot table,A macro,A worksheet,0,2
Chart legend explains:,Chart Elements,Data series meaning,Worksheet names,Pivot tables,Rows,0,2
Data labels show:,Chart Elements,Actual values on chart,Formulas,Macros,Formatting,0,2
PivotTables are mainly used for:,PivotTables,Summarizing large datasets,Deleting rows,Formatting cells,Editing formulas,0,2
PivotTables allow:,PivotTables,Dynamic data analysis,Deleting worksheets,Chart editing,Cell formatting,0,2
PivotCharts are:,PivotCharts,Charts linked to PivotTables,Static charts,Formatting tools,Macros,0,2
PivotTable fields can be placed in:,PivotTables,"Rows, Columns, Values, Filters",Charts only,Tables only,Cells only,0,2
Refreshing a PivotTable updates:,PivotTables,Data after source changes,Chart colors,Worksheet layout,Cell size,0,2
PivotTables summarize data using:,PivotTables,Aggregation functions,Text functions,Formatting tools,Charts,0,2
PivotTable slicers allow:,PivotTables,Interactive filtering,Sorting rows,Deleting cells,Formatting charts,0,2
PivotCharts update when:,PivotCharts,PivotTable filters change,Cells formatted,Charts deleted,Rows grouped,0,2
Grand totals in PivotTables represent:,PivotTables,Total summarized values,Median values,Rank values,Text values,0,2
Calculated fields in PivotTables allow:,PivotTables,Custom formulas within pivot data,Deleting rows,Formatting cells,Creating charts,0,2
Which Excel feature allows a single formula to return multiple values across a range of cells?,Array Formulas,Structured references,Array formulas,Conditional formatting,Pivot tables,1,3
Dynamic array formulas in modern Excel automatically:,Array Formulas,Create pivot tables,Spill results into adjacent cells,Insert charts,Format ranges,1,3
Which function commonly generates dynamic arrays of sequential numbers?,Array Formulas,RAND,SEQUENCE,INDEX,COUNT,1,3
The #SPILL! error occurs when:,Array Formulas,Cells block array output range,Formula syntax is wrong,Numbers overflow,Pivot cache fails,0,3
Array formulas are most useful for:,Array Formulas,Working with multiple calculations in one formula,Formatting charts,Sorting tables,Deleting duplicates,0,3
The main advantage of INDEX MATCH over VLOOKUP is:,Advanced Lookup,It works faster in all cases,It allows lookup in any direction,It automatically sorts data,It creates charts,1,3
INDEX returns:,Advanced Lookup,Position of a value,Value of a cell at given row and column,Average value,Table reference,1,3
MATCH returns:,Advanced Lookup,Cell value,Position of lookup value,Formatted text,Pivot reference,1,3
Which combination replicates VLOOKUP functionality with more flexibility?,Advanced Lookup,MATCH + SUM,INDEX + MATCH,COUNT + IF,AVERAGE + SUM,1,3
MATCH function primarily searches:,Advanced Lookup,For row number or column number of a value,For chart elements,For formatting,For pivot fields,0,3
The PMT function calculates:,Financial Functions,Total investment,Loan payment per period,Interest rate,Future value,1,3
PV function calculates:,Financial Functions,Present value of future payments,Future value,Interest rate,Tax rate,0,3
FV function returns:,Financial Functions,Future value of investment,Loan interest,Payment schedule,Discount rate,0,3
NPV function evaluates:,Financial Functions,Net present value of cash flows,Average revenue,Loan payment,Pivot total,0,3
XIRR calculates:,Financial Functions,Internal rate of return for irregular cash flows,Loan interest rate,Monthly payment,Average growth,0,3
ISERROR function is used to:,Information Functions,Detect error values,Create arrays,Calculate interest,Filter data,0,3
IFERROR helps:,Information Functions,Replace formula errors with alternative results,Sort tables,Create charts,Filter rows,0,3
IFERROR improves formulas by:,Information Functions,Handling potential calculation errors gracefully,Deleting cells,Applying formatting,Sorting columns,0,3
ISERROR combined with IF allows:,Information Functions,Custom error handling logic,Chart creation,Macro recording,Pivot formatting,0,3
IFERROR commonly replaces which pattern?,Information Functions,Nested IF formulas,IF(ISERROR()) pattern,SUM formulas,COUNT formulas,1,3
XLOOKUP improves traditional lookup functions by:,Modern Functions,Supporting two-dimensional charts,Replacing VLOOKUP and HLOOKUP,Sorting automatically,Formatting tables,1,3
Which function stacks arrays vertically?,Modern Functions,VSTACK,TRANSPOSE,MATCH,FILTER,0,3
CHOOSE function returns:,Modern Functions,Value from list based on index,Sorted data,Filtered rows,Pivot totals,0,3
SEQUENCE generates:,Modern Functions,Sequential numbers automatically,Random numbers,Lookup arrays,Text values,0,3
TRANSPOSE converts:,Modern Functions,Rows to columns,Values to formulas,Tables to charts,Numbers to text,0,3
RAND function generates:,Math Functions,Random number between 0 and 1,Random integer,Random text,Random date,0,3
RANDBETWEEN returns:,Math Functions,Random integer within range,Decimal numbers,Random text,Pivot totals,0,3
AGGREGATE function is useful because:,Math Functions,It ignores errors and hidden rows optionally,Creates charts,Deletes duplicates,Sorts tables,0,3
TRANSPOSE as a function allows:,Math Functions,Switching rows and columns dynamically,Sorting rows,Deleting columns,Creating tables,0,3
Random numbers in Excel recalculate when:,Math Functions,Workbook recalculates,Charts update,Cells formatted,Pivot refreshed,0,3
Calculated fields in PivotTables allow:,Advanced PivotTables,Custom calculations using pivot data,Chart design,Filtering tables,Deleting rows,0,3
Calculated items differ from calculated fields because:,Advanced PivotTables,They operate within specific fields,They summarize totals,They create charts,They filter rows,0,3
Custom measures in Power Pivot are written using:,Advanced PivotTables,DAX formulas,VBA macros,Pivot filters,Conditional rules,0,3
PivotCharts are best used for:,Advanced PivotTables,Interactive dashboards,Sorting worksheets,Deleting tables,Formatting cells,0,3
Refreshing PivotTables ensures:,Advanced PivotTables,Updated data from source,Chart formatting,Worksheet resizing,Macro execution,0,3
Data validation dropdown lists restrict:,Data Validation,Allowed input values,Chart elements,Pivot tables,Worksheet names,0,3
Custom validation formulas allow:,Data Validation,Complex entry rules,Chart generation,Sorting columns,Macro creation,0,3
Which validation rule ensures numbers between limits?,Data Validation,Whole number rule,List rule,Text length rule,Custom formula,0,3
Dropdown lists in validation improve:,Data Validation,Data consistency,Chart design,Pivot speed,Sorting,0,3
Validation input messages appear:,Data Validation,When cell is selected,When chart created,After printing,During macros,0,3
Advanced filtering allows:,Advanced Filtering,Using complex criteria ranges,Deleting rows,Formatting tables,Creating charts,0,3
Advanced sorting can sort by:,Advanced Sorting,Multiple levels of columns,Only one column,Chart titles,Pivot filters,0,3
Custom sort lists allow:,Advanced Sorting,User-defined sorting order,Automatic pivot grouping,Chart design,Macro execution,0,3
Advanced filter criteria ranges must include:,Advanced Filtering,Column headers matching dataset,Pivot tables,Charts,Macros,0,3
Filtering extracts:,Advanced Filtering,Records matching criteria,All data,Charts,Pivot totals,0,3
Conditional formatting highlights:,Conditional Formatting,Cells meeting defined rules,Charts,Pivot tables,Macros,0,3
Formula-based conditional formatting allows:,Conditional Formatting,Complex logic-based highlighting,Pivot calculations,Sorting,Chart creation,0,3
Data bars visually represent:,Conditional Formatting,Relative value magnitude,Text length,Chart titles,Pivot totals,0,3
Color scales show:,Conditional Formatting,Value distribution gradients,Sorting order,Chart types,Pivot items,0,3
Icon sets are useful for:,Conditional Formatting,Visual indicators of performance,Chart titles,Pivot filters,Macros,0,3
Waterfall charts are commonly used for:,Advanced Visualization,Showing cumulative financial changes,Sorting rows,Deleting columns,Formatting cells,0,3
Combo charts combine:,Advanced Visualization,Two chart types with shared axis,Two tables,Two worksheets,Two formulas,0,3
Sparklines are:,Advanced Visualization,Mini charts inside cells,Pivot tables,Macros,Formulas,0,3
Data bars in cells are part of:,Advanced Visualization,Conditional formatting,Pivot tables,Charts,Macros,0,3
Dynamic chart titles often reference:,Advanced Visualization,Cell values,Pivot filters,Macros,Sorting rules,0,3
Goal Seek determines:,Data Analysis,Input value needed for desired result,Random numbers,Pivot totals,Sorting order,0,3
Scenario Manager compares:,Data Analysis,Multiple possible input scenarios,Charts,Macros,Pivot tables,0,3
Solver is used for:,Data Analysis,Optimization problems,Sorting data,Formatting cells,Creating charts,0,3
Data tables support:,Data Analysis,Sensitivity analysis,Pivot tables,Chart design,Macro editing,0,3
VAR function calculates:,Statistical Analysis,Variance of dataset,Average value,Median value,Maximum value,0,3
STDEV.P calculates:,Statistical Analysis,Population standard deviation,Variance,Median,Rank,0,3
Macros automate:,Macros and VBA,Repetitive tasks,Charts,Pivot tables,Conditional formatting,0,3
Macro recording converts actions into:,Macros and VBA,VBA code,Pivot tables,Charts,Conditional rules,0,3
Macros are stored in:,Macros and VBA,VBA modules,Pivot tables,Charts,Cells,0,3
Editing macros requires:,Macros and VBA,VBA editor,Pivot tools,Chart designer,Conditional rules,0,3
Power Pivot allows:,Power Pivot,Working with large data models,Chart formatting,Macro recording,Cell merging,0,3
Relationships between tables enable:,Power Pivot,Multi-table data analysis,Chart creation,Macro execution,Cell formatting,0,3
Power Pivot models use:,Power Pivot,Data model relationships,Conditional formatting,Sorting lists,Pivot filters,0,3
Excel Online enables:,Collaboration,Real-time collaborative editing,Macro recording,Pivot creation,Chart deletion,0,3
Workbook protection prevents:,Workbook Security,Unauthorized editing,Chart creation,Pivot analysis,Sorting,0,3
Sheet protection controls:,Workbook Security,Editing permissions,Pivot charts,Macros,Conditional rules,0,3
Password protection secures:,Workbook Security,Workbook access,Charts,Macros,Conditional formatting,0,3
Which formula combination is commonly used to perform flexible two-way lookups in large datasets?,Advanced Lookup,VLOOKUP + IF,INDEX + MATCH,COUNT + SUM,AVERAGE + MAX,1,3
What advantage does XLOOKUP have over VLOOKUP?,Advanced Lookup,Automatically formats results,Can search both directions and return arrays,Creates PivotTables,Sorts data automatically,1,3
Which function would you use to return the third largest value in a dataset?,Statistical Functions,RANK,MEDIAN,LARGE,MAX,2,3
Which function returns the variance of a population dataset?,Statistical Functions,VAR,STDEV.P,AVERAGE,COUNT,0,3
Which function calculates the standard deviation for an entire population?,Statistical Functions,STDEV.S,STDEV.P,VAR,MEDIAN,1,3
What is the main purpose of the AGGREGATE function?,Math Functions,Perform calculations while ignoring errors or hidden rows,Generate random numbers,Create lookup tables,Filter datasets,0,3
